2026-08-09 16:14:41 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:14:41 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:14:41 | WARNING | app.api.routes.appointments | Booking rolled back due to validation: این زمان قبلاً رزرو شده است یا در دسترس نیست.
2026-08-09 16:14:42 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:14:42 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:14:42 | INFO | app.services.wallet_service | Deposit requested: user_id=1 amount=150000.00 description=شارژ تست commit=True
2026-08-09 16:14:42 | INFO | app.services.wallet_service | Deposit successful (Committed): user_id=1 wallet_id=1 amount=150000.00 tracking_code=DEP-EFA2172BDD
2026-08-09 16:14:42 | WARNING | app.api.routes.appointments | Booking rolled back due to validation: این زمان قبلاً رزرو شده است یا در دسترس نیست.
2026-08-09 16:14:43 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:14:43 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:14:43 | INFO | app.services.wallet_service | Deposit requested: user_id=1 amount=150000.00 description=شارژ جهت تست ریفاند commit=True
2026-08-09 16:14:43 | INFO | app.services.wallet_service | Deposit successful (Committed): user_id=1 wallet_id=1 amount=150000.00 tracking_code=DEP-78A132B286
2026-08-09 16:14:43 | WARNING | app.api.routes.appointments | Booking rolled back due to validation: این زمان قبلاً رزرو شده است یا در دسترس نیست.
2026-08-09 16:18:24 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:18:24 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:18:24 | INFO | app.services.wallet_service | Transfer fee requested: patient_id=1 doctor_id=2 amount=150000.00 appointment_id=None commit=False
2026-08-09 16:18:24 | WARNING | app.services.wallet_service | Insufficient funds: patient_id=1 wallet_id=1 balance=0.00 amount=150000.00
2026-08-09 16:18:24 | WARNING | app.api.routes.appointments | Booking rolled back due to validation: موجودی کیف پول بیمار کافی نیست
2026-08-09 16:18:25 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:18:25 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:18:25 | INFO | app.services.wallet_service | Deposit requested: user_id=1 amount=150000.00 description=شارژ تست commit=True
2026-08-09 16:18:25 | INFO | app.services.wallet_service | Deposit successful (Committed): user_id=1 wallet_id=1 amount=150000.00 tracking_code=DEP-5F45DB47DC
2026-08-09 16:18:25 | INFO | app.services.wallet_service | Transfer fee requested: patient_id=1 doctor_id=2 amount=150000.00 appointment_id=None commit=False
2026-08-09 16:18:25 | INFO | app.services.wallet_service | Transfer fee processed (Flushed): patient_id=1 doctor_id=2
2026-08-09 16:18:25 | INFO | app.api.routes.appointments | Atomic booking completed successfully: patient_id=1, appointment_id=1, fee=150000
2026-08-09 16:18:26 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:18:26 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:18:26 | INFO | app.services.wallet_service | Deposit requested: user_id=1 amount=150000.00 description=شارژ جهت تست ریفاند commit=True
2026-08-09 16:18:26 | INFO | app.services.wallet_service | Deposit successful (Committed): user_id=1 wallet_id=1 amount=150000.00 tracking_code=DEP-766469CC86
2026-08-09 16:18:26 | INFO | app.services.wallet_service | Transfer fee requested: patient_id=1 doctor_id=2 amount=150000.00 appointment_id=None commit=False
2026-08-09 16:18:26 | INFO | app.services.wallet_service | Transfer fee processed (Flushed): patient_id=1 doctor_id=2
2026-08-09 16:18:26 | INFO | app.api.routes.appointments | Atomic booking completed successfully: patient_id=1, appointment_id=1, fee=150000
2026-08-09 16:18:26 | INFO | app.services.wallet_service | Refund requested: transaction_id=2 commit=False
2026-08-09 16:18:26 | INFO | app.services.wallet_service | Refund processed (Flushed): transaction_id=2
